user_id,user_key,created_at,created_str,retweet_count,retweeted,favorite_count,text,tweet_id,source,hashtags,expanded_urls,posted,mentions,retweeted_status_id,in_reply_to_status_id
2532611755,kathiemrr,1488207240000,2017-02-27 14:54:00,,,,#ThingsDoneByMistake kissing auntie in the lips,8.36227891897651E+017,,"[""ThingsDoneByMistake""]",[],POSTED,[],,
2531159968,traceyhappymom,1471272620000,2016-08-15 14:50:20,,,,RT @mc_derpin: #TheOlderWeGet the more pessimistic we are https://t.co/zS3jHZJl8P,7.65198948239811E+017,,"[""TheOlderWeGet""]",[],POSTED,[],,
,evewebster373,1435701369000,2015-06-30 21:56:09,,,,RT @dmataconis: Ready To Feel Like A Failure? Joan Of Arc Was Only 19 When She Was Burned At The Stake http://t.co/S2j1IFm4y9,6.16002306572747E+017,,[],[],POSTED,[],,
4840551713,blacktolive,1474013088000,2016-09-16 08:04:48,18,false,17,Amen! #blacklivesmatter https://t.co/wGffaOqgzl,7.76693302926148E+017,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[""Blacklivesmatter""]",[],POSTED,[],,
1694026190,jacquelinisbest,1474227985000,2016-09-18 19:46:25,0,false,0,"RT @NahBabyNah: Twitchy: Chuck Todd caught out there shilling for Hillary Clinton
The post BUSTED: Adam Baldwi... https://t.co/ay28pMpDw6 #…",7.7759464787506E+017,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[""WakeUpAmerica""]","[""http://ln.is/twitchy.com/loriz-31/3yafU""]",POSTED,"[""nahbabynah""]",7.7759147820603E+017,
2587100717,judelambertusa,1460029065000,2016-04-07 11:37:45,,,,RT @mcicero10: #BernieSanders #Trump people should rally TOGETHER against the establishment who is 💩-ing on both choices #thefix,7.18040061649031E+017,,"[""BernieSanders""]",[],POSTED,[],,
1647045721,carriethornthon,1476133446000,2016-10-10 21:04:06,0,false,0,RT @ItsJustJaynie: @HillaryClinton The undecided voters on that stage was polled and said trump won. @cnn is biased.,7.85586729579196E+017,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],[],POSTED,"[""itsjustjaynie"",""hillaryclinton"",""cnn""]",7.85326419509412E+017,
1657753759,johnbranchh,1447286082000,2015-11-11 23:54:42,,,,@TodayCleveland 'no way',6.64592113775022E+017,,[],[],POSTED,[],,
7.37420000043139E+017,march_for_trump,1475375735000,2016-10-02 02:35:35,1,false,0,"@NickTomaWBRE Hi, Nick! We're holding a ""Miners for Trump"" rally tomorrow. If you're interested in covering it, ple… https://t.co/mUGySkE4UR",7.8240866138984E+017,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],"[""https://twitter.com/i/web/status/782408661389840384""]",POSTED,"[""nicktomawbre""]",,
2620869737,puredavie,1482330932000,2016-12-21 14:35:32,,,,What. Is. A. Resolution #My4WordNewYearsResolution,8.11580868573692E+017,,"[""My4WordNewYearsResolution""]",[],POSTED,[],,
1657694515,daileyjadon,1479726240000,2016-11-21 11:04:00,,,,Lifetime movie   your pet   psycho neighbor = you digging a grave for Rover. #TVLifeLessonsILearned,8.00655998335775E+017,,"[""TVLifeLessonsILearned""]",[],POSTED,[],,
